objectid,name,feattype,GEOID,tract_latitude,tract_longitude,lat,lon
35488,7th Inning Splash Waterpark,Amusement Park,45045003500,+34.7653667,-082.4346934,34.77242,-82.428989
35491,Sunset Park,Park and Recreation Area,45045002904,+34.7790647,-082.3298211,34.7729844,-82.3227557
35495,Sertoma Field,Park and Recreation Area,45073030401,+34.7713029,-083.0642802,34.7744381,-83.0559771
35497,Lakeside Park,Park and Recreation Area,45045003500,+34.7653667,-082.4346934,34.774685,-82.428712
35501,Mount Pleasant Community Center,Park and Recreation Area,45045002003,+34.7652142,-082.4041162,34.775604,-82.39269
35502,Three Pines Country Club,Golf Course,45083023500,+34.7820839,-082.0585671,34.776235,-82.013125
35521,Wenwood Soccer Complex,Amusement Park,45045002901,+34.7895220,-082.3456019,34.7819266,-82.3397025
35524,Holly Tree Country Club,Golf Course,45045003008,+34.7797036,-082.2452659,34.7832826,-82.2554594
35528,Springfield Park,Park and Recreation Area,45045002903,+34.7787267,-082.2934095,34.785013,-82.304118
35535,Roger A. Crowe Memorial Courtyard,Park and Recreation Area,45077011002,+34.7760173,-082.6984761,34.7869373,-82.6937333
35536,Playtime,Amusement Park,45045002904,+34.7790647,-082.3298211,34.787281,-82.3139699
35546,City Park,Park and Recreation Area,45045002903,+34.7787267,-082.2934095,34.7909381,-82.2880433
35549,Landsford Canal State Park,Park and Recreation Area,45023020800,+34.7511502,-080.9358989,34.7911886,-80.881837
35553,Champions Golf,Golf Course,45007010102,+34.7312026,-082.5183665,34.7924193,-82.4777169
35554,Freedom Park,Park and Recreation Area,45077011002,+34.7760173,-082.6984761,34.793383,-82.6931745
35559,High Falls County Park,Amusement Park,45073030300,+34.8081844,-082.9854921,34.7960815,-82.929077
35570,Dolly Cooper Park,Park and Recreation Area,45007010103,+34.7838001,-082.5142370,34.8015325,-82.4731894
35575,Easley Recreation Complex,Park and Recreation Area,45077010902,+34.7991552,-082.5662724,34.8021348,-82.5842435
35588,Greenville County Fairgrounds,Park and Recreation Area,45045002107,+34.8167433,-082.4266676,34.8051694,-82.4298554
35589,Greenville Country Club-Chanticleer,Golf Course,45045002103,+34.8059127,-082.4073509,34.805218,-82.4021805
35593,Smithfields Country Club,Golf Course,45077010902,+34.7991552,-082.5662724,34.8066161,-82.5561138
35600,Willow Creek Golf Course,Golf Course,45083023405,+34.8457682,-082.1726742,34.8096786,-82.1439568
35601,Pope Field,Amusement Park,45077010901,+34.7835273,-082.6116798,34.810764,-82.5963143
35603,Wrm Amusement,Amusement Park,45087030900,+34.8144497,-081.5303340,34.8116298,-81.5952605
35604,Kiwanis Park,Park and Recreation Area,45045001502,+34.8028510,-082.3837910,34.8117296,-82.3825455
35613,Rockwood Park,Park and Recreation Area,45045001501,+34.8195180,-082.3970924,34.81521,-82.3909876
35617,Pine Forest Park,Park and Recreation Area,45045002811,+34.8066326,-082.3037438,34.8172532,-82.3062425
35621,Greenville Country Club-Riverside,Golf Course,45045001400,+34.8159886,-082.3754469,34.8182838,-82.3786296
35637,Big Air Trampoline Park,Amusement Park,45045002811,+34.8066326,-082.3037438,34.8236647,-82.2942224
35639,Verdae Greens Golf Club,Golf Course,45045001900,+34.8200676,-082.3474849,34.8241218,-82.3235603
35641,Falcon's Lair Golf Course,Golf Course,45073030300,+34.8081844,-082.9854921,34.824912,-83.028346
35643,Orchard Farms Playground,Amusement Park,45045002814,+34.8299663,-082.2121214,34.8262208,-82.2276377
