state_fips,state,geoid,census_tract_2,year,value,data_comment,tract_latitude,tract_longitude
45,South Carolina,45019002614,"Charleston County, SC - 45019002614",2016,24.50%,,+32.8019252,-080.0444568
45,South Carolina,45019002701,"Charleston County, SC - 45019002701",2016,42.60%,,+32.7976991,-080.0287926
45,South Carolina,45019002702,"Charleston County, SC - 45019002702",2016,30.30%,,+32.7926930,-080.0087214
45,South Carolina,45019002801,"Charleston County, SC - 45019002801",2016,14.90%,,+32.7772208,-080.0378763
45,South Carolina,45019002802,"Charleston County, SC - 45019002802",2016,14.10%,,+32.7748760,-080.0035774
45,South Carolina,45019002900,"Charleston County, SC - 45019002900",2016,17.70%,,+32.7894663,-079.9838555
45,South Carolina,45019003000,"Charleston County, SC - 45019003000",2016,18.80%,,+32.7772471,-079.9726864
45,South Carolina,45019003104,"Charleston County, SC - 45019003104",2016,34.10%,,+32.9290256,-080.0392057
45,South Carolina,45019003105,"Charleston County, SC - 45019003105",2016,39.40%,,+32.9118630,-080.0314105
45,South Carolina,45019003106,"Charleston County, SC - 45019003106",2016,13.50%,,+33.0022955,-080.1401076
45,South Carolina,45019003107,"Charleston County, SC - 45019003107",2016,12.20%,,+32.9600374,-080.1009931
45,South Carolina,45019003108,"Charleston County, SC - 45019003108",2016,37.60%,,+32.9160676,-080.0723760
45,South Carolina,45019003109,"Charleston County, SC - 45019003109",2016,13.20%,,+32.8942569,-080.0794055
45,South Carolina,45019003110,"Charleston County, SC - 45019003110",2016,21.50%,,+32.8669862,-080.0576673
45,South Carolina,45019003111,"Charleston County, SC - 45019003111",2016,35.10%,,+32.8740625,-080.0295600
45,South Carolina,45019003113,"Charleston County, SC - 45019003113",2016,16.10%,,+32.9546311,-080.0729838
45,South Carolina,45019003114,"Charleston County, SC - 45019003114",2016,40.90%,,+32.9525906,-080.0509817
45,South Carolina,45019003115,"Charleston County, SC - 45019003115",2016,14.70%,,+32.9798853,-080.0611887
45,South Carolina,45019003200,"Charleston County, SC - 45019003200",2016,26.70%,,+32.8989988,-080.0497394
45,South Carolina,45019003300,"Charleston County, SC - 45019003300",2016,42.10%,,+32.8846062,-080.0074054
45,South Carolina,45019003400,"Charleston County, SC - 45019003400",2016,37.10%,,+32.8958105,-079.9746618
45,South Carolina,45019003500,"Charleston County, SC - 45019003500",2016,23.50%,,+32.8884799,-079.9908042
45,South Carolina,45019003600,"Charleston County, SC - 45019003600",2016,30.40%,,+32.8778634,-079.9842690
45,South Carolina,45019003700,"Charleston County, SC - 45019003700",2016,33.30%,,+32.8671057,-079.9825338
45,South Carolina,45019003800,"Charleston County, SC - 45019003800",2016,39.50%,,+32.8584017,-079.9999603
45,South Carolina,45019003900,"Charleston County, SC - 45019003900",2016,24.30%,,+32.8491452,-080.0158790
45,South Carolina,45019004000,"Charleston County, SC - 45019004000",2016,23.00%,,+32.8453153,-079.9893873
45,South Carolina,45019004300,"Charleston County, SC - 45019004300",2016,45.00%,,+32.8501669,-079.9673955
45,South Carolina,45019004400,"Charleston County, SC - 45019004400",2016,31.40%,,+32.8305580,-079.9619676
45,South Carolina,45019004606,"Charleston County, SC - 45019004606",2016,17.00%,,+32.8232078,-079.8820580
45,South Carolina,45019004607,"Charleston County, SC - 45019004607",2016,19.00%,,+32.7958351,-079.8922487
45,South Carolina,45019004608,"Charleston County, SC - 45019004608",2016,8.80%,,+32.8973520,-079.7890349
45,South Carolina,45019004609,"Charleston County, SC - 45019004609",2016,4.30%,,+32.8538067,-079.7305349
45,South Carolina,45019004610,"Charleston County, SC - 45019004610",2016,4.20%,,+32.8245244,-079.7688751
45,South Carolina,45019004611,"Charleston County, SC - 45019004611",2016,10.90%,,+32.7918747,-079.8300457
45,South Carolina,45019004612,"Charleston County, SC - 45019004612",2016,22.20%,,+32.8352937,-079.8334709
45,South Carolina,45019004613,"Charleston County, SC - 45019004613",2016,38.30%,,+32.8326092,-079.8844773
45,South Carolina,45019004614,"Charleston County, SC - 45019004614",2016,8.10%,,+32.8596872,-079.8708533
45,South Carolina,45019004701,"Charleston County, SC - 45019004701",2016,15.60%,,+32.7801651,-079.8675218
45,South Carolina,45019004702,"Charleston County, SC - 45019004702",2016,21.60%,,+32.8007285,-079.8635983
45,South Carolina,45019004800,"Charleston County, SC - 45019004800",2016,10.00%,,+32.7709494,-079.8311365
45,South Carolina,45019004901,"Charleston County, SC - 45019004901",2016,26.30%,,+32.7868965,-079.7864097
45,South Carolina,45019004902,"Charleston County, SC - 45019004902",2016,13.30%,,+32.8133989,-079.7351795
45,South Carolina,45019005000,"Charleston County, SC - 45019005000",2016,0.20%,,+33.0393507,-079.5734552
45,South Carolina,45019005100,"Charleston County, SC - 45019005100",2016,40.40%,,+32.7866809,-079.9264498
45,South Carolina,45019005200,"Charleston County, SC - 45019005200",2016,19.50%,,+32.7984271,-079.9627055
45,South Carolina,45019005300,"Charleston County, SC - 45019005300",2016,58.20%,,+32.8001609,-079.9443767
45,South Carolina,45019005400,"Charleston County, SC - 45019005400",2016,23.40%,,+32.8200646,-079.9429888
45,South Carolina,45019005500,"Charleston County, SC - 45019005500",2016,34.90%,,+32.8532338,-079.9554747
